dimension_1,dimension_2,class_index,class,snr_db
48.946865,-27.800823,8,QAM64,12.0
27.604948,39.577793,2,AM-SSB,18.0
32.605587,-35.920578,7,QAM16,-4.0
53.513504,-24.10074,8,QAM64,14.0
-12.534967,-46.288242,6,PAM4,14.0
38.48267,-24.006073,8,QAM64,-4.0
29.714975,37.69532,2,AM-SSB,-4.0
-23.615679,-50.088894,6,PAM4,12.0
-11.9768505,-1.4206725,3,BPSK,2.0
41.99609,-26.897276,8,QAM64,12.0
40.718105,-29.89004,8,QAM64,6.0
-4.936578,15.793615,4,CPFSK,-4.0
-28.72707,20.438044,1,AM-DSB,-2.0
-5.079321,46.946762,5,GFSK,4.0
-33.818916,-1.9828281,4,CPFSK,-2.0
-13.062976,-40.042072,6,PAM4,0.0
-65.88166,5.386869,1,AM-DSB,18.0
30.238039,38.768677,2,AM-SSB,0.0
-46.26597,13.939341,1,AM-DSB,8.0
50.19207,-24.981043,8,QAM64,2.0
2.0783532,55.27228,5,GFSK,16.0
-8.771594,54.98558,5,GFSK,14.0
-43.030296,-5.622467,4,CPFSK,6.0
-23.219385,-46.098087,6,PAM4,10.0
-40.209682,19.587706,10,WBFM,4.0
43.45138,-25.995188,8,QAM64,-2.0
-8.090884,46.80194,5,GFSK,2.0
44.557487,-21.952278,8,QAM64,6.0
10.830488,4.3888774,6,PAM4,-6.0
-14.449837,-11.670701,3,BPSK,18.0
-25.69716,-47.071808,6,PAM4,10.0
-11.414406,-8.936801,3,BPSK,18.0
45.9423,12.768392,0,8PSK,16.0
8.818555,-12.703354,9,QPSK,6.0
19.555159,-38.733356,7,QAM16,8.0
-25.38026,-49.242165,6,PAM4,16.0
-0.21550307,59.55038,5,GFSK,18.0
-7.007651,41.54738,5,GFSK,-6.0
-48.175644,20.55535,1,AM-DSB,8.0
13.503765,-19.5247,9,QPSK,10.0
44.50633,-19.838593,8,QAM64,8.0
-13.815089,-40.710144,6,PAM4,0.0
-19.135565,-46.871597,6,PAM4,16.0
-50.24162,19.398907,1,AM-DSB,10.0
22.56816,41.504986,2,AM-SSB,4.0
-14.30515,-13.879141,3,BPSK,10.0
25.30112,-54.47315,7,QAM16,18.0
-12.68721,-14.287147,3,BPSK,10.0
25.63932,27.467152,2,AM-SSB,4.0
-31.952639,28.904472,1,AM-DSB,-2.0
54.18144,-26.827698,8,QAM64,4.0
13.387957,-13.251096,9,QPSK,8.0
4.154868,14.578515,0,8PSK,-4.0
-32.810524,-5.9896054,4,CPFSK,-2.0
52.595802,-22.434744,8,QAM64,14.0
-28.380062,20.491905,1,AM-DSB,-2.0
25.910803,-40.7546,7,QAM16,-2.0
-9.1115465,-4.311087,3,BPSK,4.0
-17.081038,-53.496845,6,PAM4,14.0
-1.6417489,49.872215,5,GFSK,6.0
-37.507973,-2.8528862,4,CPFSK,4.0
-41.55838,24.669178,1,AM-DSB,6.0
-18.330782,-43.934525,6,PAM4,10.0
29.050907,42.089184,2,AM-SSB,4.0
-46.886753,13.367192,10,WBFM,8.0
21.79703,-43.742313,7,QAM16,6.0
-24.494349,49.255623,10,WBFM,6.0
-32.80351,-14.712522,4,CPFSK,-4.0
-49.4839,22.719501,1,AM-DSB,10.0
-59.437756,8.272606,10,WBFM,14.0
23.567173,38.83064,2,AM-SSB,-6.0
14.411624,-19.688704,9,QPSK,10.0
49.857525,6.540294,0,8PSK,16.0
-0.14191598,1.055918,3,BPSK,-6.0
51.565403,-27.42465,8,QAM64,2.0
-3.5056477,47.953453,5,GFSK,0.0
3.219552,62.108376,5,GFSK,-4.0
50.927643,7.2770867,0,8PSK,18.0
-5.835905,-4.6214476,3,BPSK,0.0
-34.751873,18.68906,10,WBFM,0.0
-38.70658,-15.420346,4,CPFSK,10.0
-39.884235,15.56427,1,AM-DSB,4.0
37.94838,-32.841396,8,QAM64,16.0
24.023796,41.904034,2,AM-SSB,6.0
17.969576,-47.245407,7,QAM16,8.0
-8.676798,38.312134,5,GFSK,-6.0
-6.8089433,50.350338,5,GFSK,8.0
46.650066,6.2722483,0,8PSK,18.0
-42.920532,-13.359814,4,CPFSK,10.0
2.2936597,6.107688,3,BPSK,-6.0
54.580368,-21.183619,8,QAM64,-2.0
-7.089369,51.30912,5,GFSK,14.0
-52.359196,14.554644,10,WBFM,10.0
21.008978,30.802458,2,AM-SSB,0.0
21.386244,40.511158,2,AM-SSB,-4.0
-22.156082,-39.516613,6,PAM4,-2.0
-43.849358,-11.34841,4,CPFSK,10.0
-2.8043256,43.61093,5,GFSK,-2.0
-5.8091826,2.4489257,3,BPSK,-2.0
31.921207,32.22586,2,AM-SSB,12.0
16.452028,-44.892387,7,QAM16,14.0
-5.194647,-11.54407,3,BPSK,2.0
9.959161,-16.981743,9,QPSK,10.0
29.641472,-39.931755,8,QAM64,18.0
31.774912,36.365597,2,AM-SSB,-6.0
54.696125,-24.85311,8,QAM64,4.0
-23.857185,-48.323044,6,PAM4,10.0
47.562283,1.7777399,0,8PSK,14.0
13.935194,-15.901489,9,QPSK,10.0
-16.667305,-2.6787755,3,BPSK,4.0
2.0061517,61.4441,5,GFSK,4.0
2.1180067,11.161446,3,BPSK,-6.0
-54.707756,9.24131,1,AM-DSB,12.0
-54.2758,19.672705,10,WBFM,14.0
-59.38175,11.416125,1,AM-DSB,16.0
40.47476,2.7987618,0,8PSK,4.0
-15.821662,-11.878893,3,BPSK,6.0
16.402853,5.8250933,0,8PSK,-2.0
44.694317,-22.21238,8,QAM64,4.0
-60.312286,15.134318,1,AM-DSB,18.0
31.077164,32.574917,2,AM-SSB,8.0
49.746872,9.31652,0,8PSK,14.0
10.832985,-17.711557,9,QPSK,10.0
-16.943357,-46.347992,6,PAM4,12.0
-24.179525,-47.735214,6,PAM4,18.0
43.72819,-24.411901,8,QAM64,12.0
22.447718,30.221354,2,AM-SSB,-2.0
14.01189,-6.72589,9,QPSK,2.0
1.6140317,50.203186,5,GFSK,12.0
-41.845802,27.043846,1,AM-DSB,4.0
-37.554222,-10.573348,4,CPFSK,14.0
-33.03194,-6.568128,4,CPFSK,-2.0
5.3910055,19.24837,0,8PSK,-6.0
21.73822,35.53017,2,AM-SSB,12.0
-40.021038,16.919918,10,WBFM,4.0
-32.847057,-2.3824377,4,CPFSK,-2.0
-6.3879943,56.097168,5,GFSK,4.0
10.598921,-23.76346,9,QPSK,10.0
-39.966404,-16.529583,4,CPFSK,6.0
17.08176,5.947308,7,QAM16,-6.0
-33.22712,-6.8539968,4,CPFSK,0.0
26.300114,-46.624702,7,QAM16,-6.0
-4.6494813,1.2947819,3,BPSK,-2.0
31.664536,31.519836,0,8PSK,-6.0
-14.530494,-48.902225,6,PAM4,16.0
-10.557328,-13.086027,3,BPSK,8.0
-9.982492,-8.730572,3,BPSK,12.0
-53.87782,12.417722,1,AM-DSB,12.0
5.7312126,16.295168,4,CPFSK,-6.0
-37.68954,-19.743174,4,CPFSK,14.0
-1.8481857,48.614258,5,GFSK,4.0
54.002583,6.8777876,0,8PSK,10.0
-38.635654,-9.229198,4,CPFSK,12.0
10.957977,-19.951334,9,QPSK,16.0
25.209599,28.561892,2,AM-SSB,4.0
20.918951,-59.031544,7,QAM16,6.0
23.702171,32.74627,2,AM-SSB,4.0
24.200226,-43.769283,7,QAM16,-2.0
-23.476236,-42.707172,6,PAM4,16.0
33.06907,1.7368602,0,8PSK,0.0
22.826075,33.826035,2,AM-SSB,12.0
11.641347,6.4270205,9,QPSK,-6.0
29.752281,34.35482,2,AM-SSB,-6.0
-41.990665,19.039175,10,WBFM,6.0
5.877587,52.77354,5,GFSK,18.0
18.715128,-53.200977,7,QAM16,6.0
-14.118742,-37.26554,6,PAM4,-4.0
42.103413,4.508044,0,8PSK,4.0
-60.206924,15.682391,10,WBFM,18.0
23.792904,39.107967,2,AM-SSB,-6.0
-42.2559,26.826841,10,WBFM,6.0
35.970474,35.23566,2,AM-SSB,0.0
6.1652327,15.128304,9,QPSK,-4.0
12.968589,-9.786956,9,QPSK,4.0
13.657588,-16.89881,9,QPSK,12.0
-16.743414,-4.7439632,3,BPSK,10.0
34.883717,-30.850973,7,QAM16,-2.0
-40.87195,22.013525,10,WBFM,4.0
31.346928,37.33849,2,AM-SSB,0.0
-50.98398,10.477608,10,WBFM,10.0
-3.185036,38.00042,5,GFSK,-6.0
-25.52995,-45.984386,6,PAM4,12.0
16.221355,-50.78768,7,QAM16,4.0
-65.939224,5.300682,10,WBFM,18.0
25.7391,-34.0373,7,QAM16,-6.0
-28.62546,39.79933,10,WBFM,2.0
14.094244,-11.209231,9,QPSK,2.0
6.7879844,10.028939,9,QPSK,-6.0
27.723228,34.107616,2,AM-SSB,10.0
-20.997782,-45.680775,6,PAM4,6.0
-11.245823,-6.2717085,3,BPSK,6.0
7.852537,-20.836721,9,QPSK,14.0
-39.456833,-7.8735204,4,CPFSK,14.0
-24.651884,49.080402,10,WBFM,16.0
46.79533,-21.035608,8,QAM64,14.0
48.549458,-25.54668,8,QAM64,4.0
-29.78511,45.01661,10,WBFM,14.0
6.936386,-22.952066,9,QPSK,10.0
32.452675,3.7294774,0,8PSK,-2.0
13.749479,-18.781784,9,QPSK,8.0
0.16787384,15.44018,9,QPSK,-6.0
-20.377207,-38.567738,6,PAM4,-2.0
27.788363,44.46625,8,QAM64,16.0
29.885199,27.329939,2,AM-SSB,-2.0
-25.20372,25.175148,1,AM-DSB,-4.0
21.489805,38.835068,2,AM-SSB,4.0
-2.7996523,3.9932027,3,BPSK,-4.0
31.32434,-40.779358,8,QAM64,-6.0
-12.820278,-45.434788,6,PAM4,18.0
16.446323,2.5458982,0,8PSK,-2.0
-52.216343,16.848646,10,WBFM,10.0
8.001231,-21.829285,9,QPSK,16.0
-47.61203,12.337257,1,AM-DSB,8.0
-41.354897,18.651678,1,AM-DSB,4.0
27.54314,32.323975,2,AM-SSB,0.0
48.961487,-27.449415,8,QAM64,4.0
-25.654757,49.279785,10,WBFM,16.0
15.695076,-10.908327,9,QPSK,2.0
-39.12389,17.425255,1,AM-DSB,2.0
25.405043,39.081493,2,AM-SSB,6.0
-38.705746,-22.353848,4,CPFSK,14.0
12.8057575,-15.345314,9,QPSK,6.0
-44.756493,-18.952496,4,CPFSK,4.0
35.20536,35.7483,2,AM-SSB,4.0
-1.1350609,16.067158,4,CPFSK,-4.0
-18.137272,-56.697983,6,PAM4,4.0
-20.846176,-38.365776,6,PAM4,-2.0
2.3886359,56.54718,5,GFSK,10.0
-44.767178,-16.023256,4,CPFSK,18.0
40.442436,1.8587871,0,8PSK,2.0
-39.84365,23.607714,10,WBFM,2.0
-13.9874115,-2.3282487,3,BPSK,4.0
-46.37037,17.056234,10,WBFM,6.0
14.137023,-6.915894,9,QPSK,2.0
30.635695,34.89072,2,AM-SSB,-6.0
-32.90164,36.641773,10,WBFM,8.0
0.77579176,6.9975524,3,BPSK,-6.0
-52.596127,25.618143,1,AM-DSB,16.0
-22.30102,-43.92295,6,PAM4,10.0
-44.940857,19.817331,1,AM-DSB,6.0
26.027113,-40.36611,7,QAM16,-2.0
46.36164,7.4383006,0,8PSK,12.0
15.891158,8.296764,9,QPSK,-2.0
45.19929,3.518199,0,8PSK,6.0
-41.548656,-11.204796,4,CPFSK,10.0
-50.518566,21.86294,10,WBFM,12.0
-38.559483,-4.881698,4,CPFSK,16.0
24.235903,39.75628,2,AM-SSB,-4.0
-11.691706,-46.807613,6,PAM4,12.0
-25.74055,23.813303,10,WBFM,-6.0
-21.703962,-54.086163,6,PAM4,18.0
-44.26451,-4.845684,4,CPFSK,2.0
23.81144,37.596363,2,AM-SSB,10.0
26.493242,-55.442997,7,QAM16,12.0
-20.554174,-51.578907,6,PAM4,8.0
-55.24451,17.41043,10,WBFM,14.0
-38.71368,17.745165,1,AM-DSB,2.0
-1.899964,58.368027,5,GFSK,8.0
-11.30923,-33.268517,6,PAM4,-6.0
-49.578274,22.00304,1,AM-DSB,10.0
-7.7714686,49.630703,5,GFSK,-2.0
25.470734,-39.811123,7,QAM16,4.0
-1.7479585,-1.6534368,3,BPSK,-2.0
-23.728643,25.3352,10,WBFM,-6.0
10.535571,17.54513,0,8PSK,-6.0
35.364883,-39.611515,7,QAM16,4.0
15.344276,-6.8577976,9,QPSK,0.0
-47.968174,-9.309217,4,CPFSK,-2.0
26.359907,33.57222,2,AM-SSB,14.0
-38.48263,27.002619,10,WBFM,2.0
16.908829,3.4453905,0,8PSK,-2.0
16.730446,26.94974,2,AM-SSB,16.0
-32.917667,-7.2156105,4,CPFSK,0.0
-28.86992,-5.893188,4,CPFSK,-4.0
19.020746,-42.897633,7,QAM16,2.0
45.188084,7.9343123,0,8PSK,16.0
38.963898,-30.439096,8,QAM64,0.0
-8.940469,-13.885932,3,BPSK,16.0
-52.124676,28.62832,1,AM-DSB,18.0
-50.891045,11.131401,1,AM-DSB,10.0
-45.331573,-10.820524,4,CPFSK,6.0
36.548004,2.672046,0,8PSK,0.0
45.99471,-22.1397,8,QAM64,4.0
-49.222813,24.037886,10,WBFM,8.0
-30.54273,47.06187,3,BPSK,-6.0
-23.929361,49.02156,10,WBFM,16.0
-29.7971,-4.044767,4,CPFSK,-2.0
7.1812334,11.951508,3,BPSK,-6.0
39.093204,6.569908,0,8PSK,4.0
-27.9867,44.758015,10,WBFM,6.0
49.070724,-26.197449,8,QAM64,4.0
47.639687,-24.91473,8,QAM64,10.0
-47.777573,18.294876,1,AM-DSB,8.0
24.223637,25.570534,2,AM-SSB,6.0
23.015892,-52.17581,7,QAM16,0.0
-48.639587,27.233232,1,AM-DSB,10.0
16.45773,-49.31602,7,QAM16,14.0
50.77526,5.4195566,0,8PSK,8.0
-46.362946,-19.154613,4,CPFSK,0.0
33.823444,-37.35294,8,QAM64,-6.0
-10.25947,-6.203746,3,BPSK,14.0
-42.27469,25.986422,1,AM-DSB,6.0
50.390873,9.975114,0,8PSK,14.0
-11.187001,-37.692528,6,PAM4,-2.0
-32.70465,40.020683,10,WBFM,16.0
46.38422,-20.367504,8,QAM64,2.0
-13.773939,-37.601097,6,PAM4,-2.0
-54.80424,9.277412,10,WBFM,12.0
21.358725,-49.597836,7,QAM16,0.0
1.9875978,61.407967,5,GFSK,0.0
21.497145,-52.103786,7,QAM16,8.0
33.630848,40.387333,2,AM-SSB,-6.0
18.722446,-48.31538,7,QAM16,18.0
5.4962745,14.083284,4,CPFSK,-6.0
32.685505,3.0052073,9,QPSK,-2.0
15.702369,-52.54675,7,QAM16,18.0
4.6260324,9.084329,0,8PSK,-6.0
-28.942917,21.455244,10,WBFM,-4.0
-23.893616,24.91058,10,WBFM,-4.0
-43.062897,23.67193,1,AM-DSB,4.0
14.356744,4.4882874,9,QPSK,-4.0
35.481983,-39.475708,8,QAM64,16.0
2.2083778,7.3926597,3,BPSK,-6.0
-36.761005,24.505327,1,AM-DSB,0.0
52.38095,-20.400866,8,QAM64,18.0
22.599817,-41.116493,7,QAM16,8.0
24.79741,39.280804,2,AM-SSB,4.0
-42.00731,-11.119516,4,CPFSK,10.0
14.357569,5.395805,0,8PSK,-4.0
44.588943,-27.857328,8,QAM64,-2.0
1.3488777,60.733273,5,GFSK,2.0
7.40032,-23.057741,9,QPSK,16.0
-1.5869735,50.143017,5,GFSK,6.0
44.111107,-21.506199,8,QAM64,12.0
-9.543509,-9.962959,3,BPSK,4.0
-13.029682,-49.218258,6,PAM4,12.0
-25.187855,20.369106,1,AM-DSB,-4.0
-40.20968,-6.73879,4,CPFSK,8.0
-16.584404,-3.9105406,3,BPSK,10.0
-37.739372,-13.60936,4,CPFSK,18.0
-25.070145,25.773466,1,AM-DSB,-2.0
30.789755,27.184921,2,AM-SSB,18.0
19.425117,-44.497456,7,QAM16,16.0
27.64978,38.5985,2,AM-SSB,18.0
-27.89818,26.681108,10,WBFM,-4.0
6.032509,48.84787,5,GFSK,6.0
5.859925,49.202106,5,GFSK,16.0
35.26222,-30.307596,8,QAM64,-6.0
-3.6294265,3.715665,3,BPSK,-4.0
38.538696,3.107612,0,8PSK,4.0
32.52579,39.51487,2,AM-SSB,-4.0
-44.85836,-8.832307,4,CPFSK,2.0
3.1763082,16.562849,2,AM-SSB,4.0
25.042036,-53.67273,7,QAM16,2.0
36.720146,36.124477,2,AM-SSB,-4.0
15.946267,27.152126,0,8PSK,-6.0
14.499487,-47.61008,7,QAM16,12.0
-16.243551,-45.993286,6,PAM4,16.0
-52.820477,25.590528,1,AM-DSB,18.0
29.951656,40.40942,2,AM-SSB,4.0
-42.118217,-9.150125,4,CPFSK,6.0
-59.75575,9.621382,10,WBFM,14.0
-38.402355,-13.949461,4,CPFSK,18.0
-4.0235877,5.6602197,3,BPSK,-4.0
-11.343025,-47.373676,6,PAM4,6.0
33.456287,-36.053165,7,QAM16,-2.0
20.1692,-45.438747,7,QAM16,6.0
-15.052965,-48.437195,6,PAM4,18.0
-30.92891,43.79106,10,WBFM,12.0
-24.606007,18.896273,10,WBFM,-4.0
-37.671337,-10.03685,4,CPFSK,14.0
9.159923,6.691507,0,8PSK,-4.0
35.781254,35.969055,7,QAM16,6.0
21.768213,-52.975533,7,QAM16,18.0
-31.072292,37.945847,10,WBFM,6.0
-7.5685105,-2.116458,3,BPSK,2.0
-31.420736,34.36584,10,WBFM,0.0
20.91864,26.970924,2,AM-SSB,-6.0
