sample_index,i,q,amplitude,phase,instantaneous_frequency
95,0.0012876967,-0.0077876677,0.007894044,-1.4069283,0.0048007965
96,0.0013049135,-0.0077877734,0.007896975,-1.4047793,0.0021489859
97,0.001364061,-0.007758695,0.007878325,-1.3967643,0.008015037
98,0.0013610163,-0.0077754045,0.007894256,-1.3975106,-0.00074636936
99,0.0012478011,-0.007779142,0.007879216,-1.4117477,-0.014237046
100,0.0012440571,-0.007702961,0.007803415,-1.4106753,0.0010724068
101,0.0012592282,-0.0078586,0.007959475,-1.4119112,-0.0012359619
102,0.0012373546,-0.0077262116,0.007825305,-1.4119946,-8.332729e-05
103,0.0012158699,-0.007776548,0.00787166,-1.4157012,-0.0037065744
104,0.0010933323,-0.007714497,0.0077922293,-1.4300096,-0.014308453
105,0.0011503149,-0.0076089296,0.00769604,-1.420753,0.009256601
106,0.0013827524,-0.008092757,0.008210647,-1.4015676,0.019185424
107,0.001376352,-0.0075922613,0.0077166557,-1.3914604,0.01010716
108,0.0012898601,-0.00756453,0.007674363,-1.4019065,-0.010446072
109,0.0013618545,-0.007793336,0.007912062,-1.3977971,0.0041093826
110,0.0013251128,-0.0077286963,0.007842109,-1.4009938,-0.0031967163
111,0.0013137094,-0.0075107715,0.0076254522,-1.397638,0.0033558607
112,0.0010208525,-0.0077247457,0.00779255,-1.4394042,-0.041766286
113,0.0012244458,-0.00763395,0.0077321706,-1.4117562,0.027648091
114,0.0012441269,-0.007757651,0.007857417,-1.4117763,-2.014637e-05
115,0.001332469,-0.007715359,0.007830213,-1.3997799,0.011996388
116,0.0013208255,-0.007659506,0.0077731987,-1.4000331,-0.00025320053
117,0.0012126709,-0.007652721,0.007748852,-1.4136404,-0.013607264
118,0.0012701262,-0.0077536833,0.00785766,-1.408429,0.0052113533
119,0.0013332306,-0.007807225,0.007920875,-1.401659,0.0067700148
120,0.0012145446,-0.007937794,0.008030796,-1.418966,-0.017307043
121,0.00090763683,-0.0075907167,0.007645442,-1.4517894,-0.032823324
122,0.0013072075,-0.0076567046,0.0077681346,-1.4016995,0.050089836
123,0.0011604456,-0.0077793756,0.007866086,-1.4227188,-0.02101922
124,0.001259091,-0.007817618,0.007918993,-1.4111096,0.011609197
125,0.0012978873,-0.007624481,0.007734806,-1.4021863,0.008923292
126,0.0011729551,-0.0077031986,0.0077926307,-1.4196885,-0.017502189
127,0.0010990287,-0.0076533505,0.0077325054,-1.4281704,-0.008481979
