split,label,snr,count,modulation
train,0,2,600,8PSK
train,0,4,600,8PSK
train,0,6,600,8PSK
train,0,8,600,8PSK
train,0,10,600,8PSK
train,0,12,600,8PSK
train,0,14,600,8PSK
train,0,16,600,8PSK
train,0,18,600,8PSK
train,1,-6,600,AM-DSB
train,1,-4,600,AM-DSB
train,1,-2,600,AM-DSB
train,1,0,600,AM-DSB
train,1,2,600,AM-DSB
train,1,4,600,AM-DSB
train,1,6,600,AM-DSB
train,1,8,600,AM-DSB
train,1,10,600,AM-DSB
train,1,12,600,AM-DSB
train,1,14,600,AM-DSB
train,1,16,600,AM-DSB
train,1,18,600,AM-DSB
train,2,-6,600,AM-SSB
train,2,-4,600,AM-SSB
train,2,-2,600,AM-SSB
train,2,0,600,AM-SSB
train,2,2,600,AM-SSB
train,2,4,600,AM-SSB
train,2,6,600,AM-SSB
train,2,8,600,AM-SSB
train,2,10,600,AM-SSB
train,2,12,600,AM-SSB
train,2,14,600,AM-SSB
train,2,16,600,AM-SSB
train,2,18,600,AM-SSB
train,3,-6,600,BPSK
train,3,-4,600,BPSK
train,3,-2,600,BPSK
train,3,0,600,BPSK
train,3,2,600,BPSK
train,3,4,600,BPSK
train,3,6,600,BPSK
train,3,8,600,BPSK
train,3,10,600,BPSK
train,3,12,600,BPSK
train,3,14,600,BPSK
train,3,16,600,BPSK
train,3,18,600,BPSK
train,4,-6,600,CPFSK
train,4,-4,600,CPFSK
train,4,-2,600,CPFSK
train,4,0,600,CPFSK
train,4,2,600,CPFSK
train,4,4,600,CPFSK
train,4,6,600,CPFSK
train,4,8,600,CPFSK
train,4,10,600,CPFSK
train,4,12,600,CPFSK
train,4,14,600,CPFSK
train,4,16,600,CPFSK
train,4,18,600,CPFSK
train,5,-6,600,GFSK
train,5,-4,600,GFSK
train,5,-2,600,GFSK
train,5,0,600,GFSK
train,5,2,600,GFSK
train,5,4,600,GFSK
train,5,6,600,GFSK
train,5,8,600,GFSK
train,5,10,600,GFSK
train,5,12,600,GFSK
train,5,14,600,GFSK
train,5,16,600,GFSK
train,5,18,600,GFSK
train,6,-6,600,PAM4
train,6,-4,600,PAM4
train,6,-2,600,PAM4
train,6,0,600,PAM4
train,6,2,600,PAM4
train,6,4,600,PAM4
train,6,6,600,PAM4
train,6,8,600,PAM4
train,6,10,600,PAM4
train,6,12,600,PAM4
train,6,14,600,PAM4
train,6,16,600,PAM4
train,6,18,600,PAM4
train,7,-6,600,QAM16
train,7,-4,600,QAM16
train,7,-2,600,QAM16
train,7,0,600,QAM16
train,7,2,600,QAM16
train,7,4,600,QAM16
train,7,6,600,QAM16
train,7,8,600,QAM16
train,7,10,600,QAM16
train,7,12,600,QAM16
train,7,14,600,QAM16
train,7,16,600,QAM16
train,7,18,600,QAM16
train,8,-6,600,QAM64
train,8,-4,600,QAM64
train,8,-2,600,QAM64
train,8,0,600,QAM64
train,8,2,600,QAM64
train,8,4,600,QAM64
train,8,6,600,QAM64
train,8,8,600,QAM64
train,8,10,600,QAM64
train,8,12,600,QAM64
train,8,14,600,QAM64
train,8,16,600,QAM64
train,8,18,600,QAM64
train,9,-6,600,QPSK
train,9,-4,600,QPSK
train,9,-2,600,QPSK
train,9,0,600,QPSK
train,9,2,600,QPSK
train,9,4,600,QPSK
train,9,6,600,QPSK
train,9,8,600,QPSK
train,9,10,600,QPSK
train,9,12,600,QPSK
train,9,14,600,QPSK
train,9,16,600,QPSK
train,9,18,600,QPSK
train,10,-6,600,WBFM
train,10,-4,600,WBFM
train,10,-2,600,WBFM
train,10,0,600,WBFM
train,10,2,600,WBFM
train,10,4,600,WBFM
train,10,6,600,WBFM
train,10,8,600,WBFM
train,10,10,600,WBFM
train,10,12,600,WBFM
train,10,14,600,WBFM
train,10,16,600,WBFM
train,10,18,600,WBFM
validation,0,-6,200,8PSK
validation,0,-4,200,8PSK
validation,0,-2,200,8PSK
validation,0,0,200,8PSK
validation,0,2,200,8PSK
validation,0,4,200,8PSK
validation,0,6,200,8PSK
validation,0,8,200,8PSK
validation,0,10,200,8PSK
validation,0,12,200,8PSK
validation,0,14,200,8PSK
validation,0,16,200,8PSK
validation,0,18,200,8PSK
validation,1,-6,200,AM-DSB
validation,1,-4,200,AM-DSB
validation,1,-2,200,AM-DSB
validation,1,0,200,AM-DSB
validation,1,2,200,AM-DSB
validation,1,4,200,AM-DSB
validation,1,6,200,AM-DSB
validation,1,8,200,AM-DSB
validation,1,10,200,AM-DSB
validation,1,12,200,AM-DSB
validation,1,14,200,AM-DSB
validation,1,16,200,AM-DSB
validation,1,18,200,AM-DSB
validation,2,-6,200,AM-SSB
validation,2,-4,200,AM-SSB
validation,2,-2,200,AM-SSB
validation,2,0,200,AM-SSB
validation,2,2,200,AM-SSB
validation,2,4,200,AM-SSB
validation,2,6,200,AM-SSB
validation,2,8,200,AM-SSB
validation,2,10,200,AM-SSB
validation,2,12,200,AM-SSB
validation,2,14,200,AM-SSB
validation,2,16,200,AM-SSB
validation,2,18,200,AM-SSB
validation,3,-6,200,BPSK
validation,3,-4,200,BPSK
validation,3,-2,200,BPSK
validation,3,0,200,BPSK
validation,3,2,200,BPSK
validation,3,4,200,BPSK
validation,3,6,200,BPSK
validation,3,8,200,BPSK
validation,3,10,200,BPSK
validation,3,12,200,BPSK
validation,3,14,200,BPSK
validation,3,16,200,BPSK
validation,3,18,200,BPSK
validation,4,-6,200,CPFSK
validation,4,-4,200,CPFSK
validation,4,-2,200,CPFSK
validation,4,0,200,CPFSK
validation,4,2,200,CPFSK
validation,4,4,200,CPFSK
validation,4,6,200,CPFSK
validation,4,8,200,CPFSK
validation,4,10,200,CPFSK
validation,4,12,200,CPFSK
validation,4,14,200,CPFSK
validation,4,16,200,CPFSK
validation,4,18,200,CPFSK
validation,5,-6,200,GFSK
validation,5,-4,200,GFSK
validation,5,-2,200,GFSK
validation,5,0,200,GFSK
validation,5,2,200,GFSK
validation,5,4,200,GFSK
validation,5,6,200,GFSK
validation,5,8,200,GFSK
validation,5,10,200,GFSK
validation,5,12,200,GFSK
validation,5,14,200,GFSK
validation,5,16,200,GFSK
validation,5,18,200,GFSK
validation,6,-6,200,PAM4
validation,6,-4,200,PAM4
validation,6,-2,200,PAM4
validation,6,0,200,PAM4
validation,6,2,200,PAM4
validation,6,4,200,PAM4
validation,6,6,200,PAM4
validation,6,8,200,PAM4
validation,6,10,200,PAM4
validation,6,12,200,PAM4
validation,6,14,200,PAM4
validation,6,16,200,PAM4
validation,6,18,200,PAM4
validation,7,-6,200,QAM16
validation,7,-4,200,QAM16
validation,7,-2,200,QAM16
validation,7,0,200,QAM16
validation,7,2,200,QAM16
validation,7,4,200,QAM16
validation,7,6,200,QAM16
validation,7,8,200,QAM16
validation,7,10,200,QAM16
validation,7,12,200,QAM16
validation,7,14,200,QAM16
validation,7,16,200,QAM16
validation,7,18,200,QAM16
validation,8,-6,200,QAM64
validation,8,-4,200,QAM64
validation,8,-2,200,QAM64
validation,8,0,200,QAM64
validation,8,2,200,QAM64
validation,8,4,200,QAM64
validation,8,6,200,QAM64
validation,8,8,200,QAM64
validation,8,10,200,QAM64
validation,8,12,200,QAM64
validation,8,14,200,QAM64
validation,8,16,200,QAM64
validation,8,18,200,QAM64
validation,9,-6,200,QPSK
validation,9,-4,200,QPSK
validation,9,-2,200,QPSK
validation,9,0,200,QPSK
validation,9,2,200,QPSK
validation,9,4,200,QPSK
validation,9,6,200,QPSK
validation,9,8,200,QPSK
validation,9,10,200,QPSK
validation,9,12,200,QPSK
validation,9,14,200,QPSK
validation,9,16,200,QPSK
validation,9,18,200,QPSK
validation,10,-6,200,WBFM
validation,10,-4,200,WBFM
validation,10,-2,200,WBFM
validation,10,0,200,WBFM
validation,10,2,200,WBFM
validation,10,4,200,WBFM
validation,10,6,200,WBFM
validation,10,8,200,WBFM
validation,10,10,200,WBFM
validation,10,12,200,WBFM
validation,10,14,200,WBFM
validation,10,16,200,WBFM
validation,10,18,200,WBFM
